"Year","City","Observations","Species","People"
2019,"Albuquerque, NM, USA",8230,1211,334
2019,"Asheville, NC, USA",5438,1222,277
2019,"Atlanta, GA, USA",8920,1483,423
2019,"Austin, TX, USA",16005,2295,752
2019,"Baltimore, MD, USA",8499,1268,458
2019,"Berlin, Germany",3003,596,732
2019,"Birmingham, AL, USA",3323,1066,231
2019,"Bogot , Colombia",10583,1254,449
2019,"Boston, MA, USA",20329,1574,1107
2019,"Boulder-Denver Metro, CO, USA",6210,969,406
2019,"Brasilia, Brazil",752,316,100
2019,"Bristol & Bath City Region, UK",15350,1514,346
2019,"Buenos Aires, Argentina",2527,572,105
2019,"Calgary, Canada",4488,629,140
2019,"Cape Town, South Africa",53763,4588,1141
2019,"Charlotte, NC, USA",8715,1213,377
2019,"Chiayi, Taiwan",10130,1607,169
2019,"Chicago, IL, USA",7985,1045,339
2019,"Christchurch, New Zealand",17549,2377,312
2019,"Ciudad de M‚xico, Mexico",9751,1216,354
2019,"Cleveland-Akron-Canton, OH, USA",4126,972,273
2019,"Colorado Springs, CO, USA",3812,742,146
2019,"Corpus Christi, TX, USA",2943,852,155
2019,"Dallas - Fort Worth, TX, USA",36370,2637,1008
2019,"Ensenada, Mexico",11134,1442,247
2019,"Eugene-Springfield, OR, USA",2841,719,114
2019,"Fort Collins, CO, USA",1996,512,157
2019,"Georgetown, Malaysia",7521,1213,167
2019,"Greater Manchester, UK",5096,806,135
2019,"Halifax, NS, Canada",7647,912,237
2019,"Hong Kong SAR, China",31144,3596,1128
2019,"Houston, TX, USA",24534,3367,898
2019,"Indianapolis, IN, USA",2882,643,168
2019,"Klang Valley, Malaysia",37916,3020,518
2019,"La Paz, Bolivia",46931,3005,1500
2019,"Liverpool City Region, UK",12326,1075,121
2019,"London, UK",5464,1110,270
2019,"Los Angeles County, CA, USA",34125,3249,1555
2019,"Lower Rio Grande Valley, TX, USA",8773,1870,127
2019,"Luxembourg, Luxembourg",8220,1083,417
2019,"Mazatl n, Mexico",27684,2500,511
2019,"Medell¡n, Colombia",14178,2480,451
2019,"Miami & Upper Keys, FL, USA",12127,1966,536
2019,"Minneapolis/St. Paul, MN, USA",5672,703,439
2019,"Monterrey, Mexico",15529,2129,332
2019,"Nashville, TN, USA",2292,715,168
2019,"New York, NY, USA",25803,1637,466
2019,"Newcastle Upon Tyne, UK",3041,670,132
2019,"Omaha, NE, USA",1895,532,139
2019,"Panam , Panam ",5225,1193,298
2019,"Philadelphia, PA, USA",13693,1584,565
2019,"Pittsburgh, PA, USA",5198,965,259
2019,"Prague, Czech Republic",7757,998,446
2019,"Quito, Ecuador",36401,666,1372
2019,"Raleigh, NC, USA",14054,1958,449
2019,"Sacramento Region, CA, USA",9798,1279,536
2019,"Salt Lake City, UT, USA",3646,594,219
2019,"San Antonio, TX, USA",7818,1452,461
2019,"San Diego County, CA, USA",38241,3019,1188
2019,"San Francisco Bay Area, CA, USA",38028,3183,1947
2019,"Santiago, Brazil",2414,474,181
2019,"Seattle-Tacoma Metropolitan Area, WA, USA",2946,853,235
2019,"St. Louis Metro Area, MO, USA",13758,1606,779
2019,"Tallahassee, FL, USA",11262,1845,408
2019,"Tena, Ecuador",37965,2653,1185
2019,"Tokyo, Japan",3897,633,154
2019,"Tuxtla Gutierrez, Mexico",5744,990,439
2019,"Washington, D.C., USA",29942,2258,1258
2020,"Adelaide, South Australia, Australia",6701,1205,188
2020,"Alachua County, Florida, USA",10287,1773,276
2020,"Albuquerque, New Mexico, USA",5020,1013,316
2020,"Ann Arbor, Michigan, USA",1723,497,99
2020,"Asheville (Western NC), North Carolina, USA",6498,1392,521
2020,"Atlanta, Georgia, USA",7215,1392,754
2020,"Auckland, Auckland, New Zealand",2218,885,211
2020,"Austin, Texas, USA",18213,2505,1165
2020,"Baltimore, Maryland, USA",10961,1501,663
2020,"Birmingham & Black Country, Midlands, UK",16145,1370,276
2020,"Birminghham Metro Area, Alabama, USA",1756,781,196
2020,"Bolzano, South Tyrol, Italy",3271,934,148
2020,"Boston, Massachusetts, USA",15249,1765,1013
2020,"Brighton & Lewes Downs Biosphere, South-east, UK",1926,598,111
2020,"Bristol & Bath, UK",8851,1354,539
2020,"Brno, Jihomoravský kraj, Czech Republic",2648,614,129
2020,"Calgary Metropolitan Region (CMR), Alberta, Canada",5465,755,239
2020,"Cape Town, Western Cape, South Africa",34147,3263,1029
2020,"Central Taiwan, Taichung, Taiwan",4518,1477,183
2020,"Charlotte Metro, North Carolina, USA",1860,742,286
2020,"Charlottesville, Virginia, USA",1483,550,123
2020,"Chattanooga, Tennessee, USA",3418,1075,250
2020,"Chiayi, Chiayi, Taiwan",11937,1827,133
2020,"Chicago, Illinois, USA",4299,802,552
2020,"Ciudad Autónoma de Buenos Aires, Buenos Aires, Argentina",1488,569,118
2020,"Cleveland-Akron-Canton, Ohio, USA",6055,1035,491
2020,"Colon, Panamá",3493,1139,109
2020,"Copenhagen, Copenhagen, Denmark",1649,655,83
2020,"Curitiba, Paraná, Brazil",2697,779,121
2020,"Dallas/Fort Worth (DFW), Texas, USA",33506,2962,1253
2020,"David City, Chiriquí, Panamá",7096,1850,180
2020,"Denver-Boulder Metro Area, Colorado, USA",5847,838,443
2020,"El Paso, Texas, USA",1496,489,72
2020,"Eugene/Springfield, Oregon, USA",2824,786,144
2020,"Fairfield County, Connecticut, USA",3156,808,364
2020,"Fort Wayne, Indiana, USA",1963,500,117
2020,"Garden Route, Western Cape, South Africa",17743,2734,315
2020,"Geelong, Victoria, Australia",5949,1384,135
2020,"Glasgow, Glasgow, UK",2086,589,106
2020,"Gran Área Metropolitana, San José-GAM, Costa Rica",2097,687,178
2020,"Graz, Styria, Austria",4398,1350,95
2020,"Greater Kansas City Metro Area, Missouri and Kansas, USA",677,348,123
2020,"Greater Manchester, North West, UK",4740,832,221
2020,"Greater Philadelphia Area, Pennsylvania, USA",23675,2032,820
2020,"Greater Richmond Region, Virginia, USA",1443,573,160
2020,"Guimarães, Braga, Portugal",181,144,55
2020,"Halifax Regional Municipality (HRM), Nova Scotia, Canada",4318,766,185
2020,"Honduras, Honduras",2214,869,189
2020,"Hong Kong SAR, Hong Kong SAR, China",17137,3007,460
2020,"Houston-Galveston, Texas, USA",27624,3359,1265
2020,"Indianapolis, Indiana, USA",4541,948,344
2020,"Inland Empire, California, USA",10899,1835,485
2020,"La Paz/El Alto, La Paz, Bolivia",3354,635,139
2020,"Lancashire, North West, UK",5331,1044,143
2020,"Liverpool City Region, North-west, UK",5938,991,169
2020,"London, London, UK",5731,1069,537
2020,"Los Angeles County, California, USA",19134,2494,1568
2020,"Lower Rio Grande Valley, Texas, USA",7499,1673,150
2020,"Luxembourg, Luxembourg, Luxembourg",5860,1077,423
2020,"Managua, Managua, Nicaragua",901,430,42
2020,"Mendocino County, California, USA",1407,624,106
2020,"Minneapolis-St. Paul, Minnesota, USA",5550,815,583
2020,"Montréal, Québec, Canada",640,241,96
2020,"Moscow, Moscow, Russia",5969,637,63
2020,"Nashville, Tennessee, USA",2611,805,245
2020,"New Orleans, Louisiana, USA",565,355,144
2020,"New York City, New York, USA",7545,967,364
2020,"North East England, North East England, UK",5281,817,177
2020,"North Taiwan, Taipei, Taiwan",11941,2004,426
2020,"Northern Colorado, Colorado, USA",922,381,122
2020,"Nottingham City, Midlands, UK",2707,673,104
2020,"Omaha, Nebraska, USA",1880,549,185
2020,"Orange County, California, USA",3921,1078,281
2020,"Ottawa-Gatineau (NCR), Ontario/Québec, Canada",2894,687,203
2020,"Panamá, Panamá, Panamá",2347,785,118
2020,"Perú, Perú",1648,534,385
2020,"Pioneer Valley, Massachusetts, USA",1240,438,110
2020,"Pittsburgh Region, Pennsylvania, USA",8290,1414,487
2020,"Prague, Czech Republic",9955,1268,404
2020,"Rock River Valley (Rockford), Illinois, USA",5577,757,144
2020,"Sacramento, California, USA",8703,1654,742
2020,"San Antonio, Texas, USA",12472,2032,703
2020,"San Diego County, California, USA",17213,2409,920
2020,"San Francisco Bay Area, California, USA",31450,2975,2496
2020,"Santa Cruz de la Sierra, Santa Cruz, Bolivia",7173,1347,336
2020,"Savannah, Georgia, USA",166,115,46
2020,"Seattle-Tacoma Metropolitan Area, Washington, USA",5190,1044,565
2020,"South Florida, Florida, USA",8430,1743,441
2020,"Southeastern Coastal NC, North Carolina, USA",4823,1358,324
2020,"St. Louis, Missouri and Illnois, USA",7011,1259,646
2020,"Sydney (Greater Sydney Area), New South Wales , Australia",3829,1245,164
2020,"São Paulo, Brazil",202,101,24
2020,"Tainan City, Tainan, Taiwan",2072,677,116
2020,"Taoyuan-Hsinchu, Hsinchu, Taiwan",7908,1690,241
2020,"The Wasatch, Utah, USA",6868,1047,636
2020,"Triangle Area, North Carolina, USA",18234,2419,984
2020,"Tshwane, Gauteng, South Africa",959,537,54
2020,"Tulsa Metro Area, Oklahoma, USA",1775,720,177
2020,"Veraguas, Panamá",2332,858,135
2020,"Vienna, Vienna, Austria",5043,1252,111
2020,"Washington Metropolitan Area, District of Columbia/Virginia/Maryland/West Virginia, USA",27853,2456,1531
2020,"?tautahi/Christchurch, Canterbury, New Zealand",7579,1399,157
2021,"Adelaide (Greater Adelaide), South Australia, Australia",5353,1099,157
2021,"Alachua County (Gainesville), Florida, USA",10407,1886,276
2021,"Albuquerque, New Mexico, USA",10605,1273,350
2021,"Ann Arbor, Michigan, USA",1594,464,137
2021,"Atlanta, Georgia, USA",7205,1516,488
2021,"Austin, Texas, USA",16929,2480,1055
2021,"Baltimore Area, Maryland, USA",13421,1917,854
2021,"Baton Rouge, Louisiana, USA",7687,1539,264
2021,"Berlin, Berlin, Germany",5045,740,86
2021,"Birmingham & Black Country, Midlands, UK",9278,914,186
2021,"Birmingham Metro Area, Alabama, USA",1158,563,147
2021,"Bogotá, Cundinamarca, Colombia",6396,910,309
2021,"Boise Area, Idaho, USA",3157,587,126
2021,"Boston Area, Massachusetts, USA",24111,2093,1759
2021,"Brasília and Economic Region, Distrito Federal, Goias and Minas Gerais, Brazil",3605,940,169
2021,"Brighton & Eastern Downs, South East England, UK",6101,1128,133
2021,"Bristol and Bath City Region, UK",8299,1019,417
2021,"Brno, Czech Republic",7973,1032,357
2021,"Bucaramanga, Santander, Colombia",6718,1333,368
2021,"Buenos Aires y alrededores, Ciudad Autónoma de Buenos Aires, Argentina",2822,734,136
2021,"Burlington/Winooski, Vermont, USA",1762,425,138
2021,"Calgary Metropolitan Region, Alberta, Canada",6689,778,267
2021,"Cape Town, Western Cape, South Africa",71142,4766,1315
2021,"Central Ohio (Columbus), Ohio, USA",1373,558,205
2021,"Central Taiwan (Taichung,Miaoli,Nantong,Changhua), Central Taiwan, Taiwan",2775,942,174
2021,"Charlotte Metro Region, North Carolina, USA",2971,970,299
2021,"Charlottesville, Virginia, USA",1557,632,186
2021,"Chattanooga, Tennessee, USA",3356,1090,257
2021,"Chiayi, Yunlin, Chiayi-Yunlin Taiwan, Taiwan",17211,1907,142
2021,"Chicago Metro, Illinois, USA",12112,1543,1091
2021,"Cincinnati - Hamilton County, Ohio, USA",3414,807,260
2021,"Ciudad de México, Ciudad de México, México",3881,760,204
2021,"Ciudad de Panamá y San Miguelito, Panamá, Panamá",3029,1053,171
2021,"Cleveland-Akron-Canton, Ohio, USA",6676,1184,521
2021,"Copenhagen, Copenhagen, Denmark",2181,748,164
2021,"Cosalá, Sinaloa, México",3728,698,77
2021,"Costa Mesa-Orange County, California, USA",3275,970,313
2021,"Cuernavaca, Morelos, México",7796,1298,225
2021,"Curitiba and Metropolitan Region, Paraná State, Brazil",3795,965,176
2021,"Dallas, Fort Worth, Texas, USA",37594,3060,1124
2021,"Davao City, Philippines",4504,1044,160
2021,"Denver-Boulder Metro, Colorado, USA",4362,735,365
2021,"El Paso, Texas, USA",1063,373,53
2021,"eThekwini (Durban), South Africa",7442,1631,125
2021,"Eugene/Springfield, Oregon, USA",2324,672,189
2021,"Fairfield and Westchester Counties, Connecticut/New York, USA",2707,718,365
2021,"Fort Wayne Area, Indiana, USA",1504,455,132
2021,"Garden Route District, Western Cape, South Africa",19977,3073,244
2021,"Geelong, Victoria, Australia",3336,1079,74
2021,"Gran Área Metropolitana (GAM), Gran Area Metropolitana, Costa Rica",2655,948,104
2021,"Graz, Steiermark, Austria",17163,2493,223
2021,"Guimarães, Braga, Portugal",600,402,120
2021,"Halifax Regional Municipality, Nova Scotia, Canada",5753,932,220
2021,"Hamilton (The Hammer), Ontario, Canada",3269,764,160
2021,"Hampton Roads, Virginia, USA",1303,559,170
2021,"Heart of Texas (Waco), Texas, USA",4216,1227,156
2021,"Honduras, Honduras",3656,1278,105
2021,"Hong Kong SAR, Hong Kong SAR, China",29781,4179,1081
2021,"Houston-Galveston, Texas, USA",33452,3707,1190
2021,"Hsinchu, Taiwan, Taiwan",3491,1081,92
2021,"Indianapolis, Indiana, USA",4360,945,268
2021,"Inland Empire, California, USA",10741,1771,480
2021,"Ithaca, New York, USA",3134,811,174
2021,"Kansas City (Greater Kansas City Metro Area), Missouri, USA",1123,455,196
2021,"Kaohsiung, Taiwan, Taiwan",537,322,85
2021,"Kiel Region, Schleswig-Holstein, Germany",5357,891,196
2021,"Klang Valley (Kuala Lumpur), Kuala Lumpur, Malaysia",9397,1373,448
2021,"Knox Area (Knoxville), Tennessee, USA",2130,753,288
2021,"La Paz/El Alto, La Paz, Bolivia",476,188,17
2021,"Lancashire, UK",2983,908,110
2021,"Lexington, Kentucky, USA",2607,764,164
2021,"Lima, Lima, Perú",2959,586,165
2021,"Liverpool City Region, Merseyside, UK",8900,940,111
2021,"London, London, UK",4721,963,323
2021,"Los Angeles County, California, USA",22037,2638,1507
2021,"Lower Rio Grande Valley, Texas, USA",7914,1717,144
2021,"Luxembourg, Luxembourg, Luxembourg",5341,888,268
2021,"Managua, Managua, Nicaragua",2772,808,114
2021,"Mazatlán, Sinaloa, México",15175,1491,99
2021,"Melbourne Eastern Metropolitan Area, Victoria, Australia",7629,1106,323
2021,"Mendocino County, California, USA",1859,708,137
2021,"Minneapolis-St. Paul, Minnesota, USA",6621,969,643
2021,"Monterrey, Zona Metropolitana, Nuevo León, México",8932,1447,406
2021,"Moscow, City of Moscow, Russia",11070,835,183
2021,"Nashville, Tennessee, USA",1541,631,259
2021,"NC Coastal Plain (Whiteville), North Carolina, USA",2359,918,256
2021,"New Orleans, Louisiana, USA",1417,611,134
2021,"New York City, New York, USA",19260,1585,845
2021,"North East England, North East England, UK",2165,646,89
2021,"North Taiwan (Taipei, New Taipei, Keelung, Taoyuan), North Taiwan, Taiwan",21581,2944,604
2021,"Northeast Tennessee (Johnson City), Tennessee, USA",3481,985,149
