"Year","City","Period","Observations.All"
2022,"Ensenada, Baja California, México","after",353
2022,"Erie, Pennsylvania, USA","before",156
2022,"Erie, Pennsylvania, USA","during",2447
2022,"Erie, Pennsylvania, USA","after",198
2020,"eThekwini, Kwa-Zulu Natal, South Africa","before",186
2020,"eThekwini, Kwa-Zulu Natal, South Africa","during",2071
2020,"eThekwini, Kwa-Zulu Natal, South Africa","after",161
2021,"eThekwini, Kwa-Zulu Natal, South Africa","before",104
2021,"eThekwini, Kwa-Zulu Natal, South Africa","during",7416
2021,"eThekwini, Kwa-Zulu Natal, South Africa","after",173
2022,"eThekwini, Kwa-Zulu Natal, South Africa","before",260
2022,"eThekwini, Kwa-Zulu Natal, South Africa","during",12964
2022,"eThekwini, Kwa-Zulu Natal, South Africa","after",207
2020,"Eugene-Springfield, Oregon, USA","before",322
2020,"Eugene-Springfield, Oregon, USA","during",2878
2020,"Eugene-Springfield, Oregon, USA","after",356
2021,"Eugene-Springfield, Oregon, USA","before",506
2021,"Eugene-Springfield, Oregon, USA","during",2378
2021,"Eugene-Springfield, Oregon, USA","after",1010
2022,"Eugene-Springfield, Oregon, USA","before",386
2022,"Eugene-Springfield, Oregon, USA","during",726
2022,"Eugene-Springfield, Oregon, USA","after",756
2019,"Eugene-Springfield, Oregon, USA","before",114
2019,"Eugene-Springfield, Oregon, USA","during",2851
2019,"Eugene-Springfield, Oregon, USA","after",123
2021,"Fairfield and Westchester County, Connecticut and New York, USA","before",1075
2021,"Fairfield and Westchester County, Connecticut and New York, USA","during",2791
2021,"Fairfield and Westchester County, Connecticut and New York, USA","after",1343
2022,"Fairfield and Westchester County, Connecticut and New York, USA","before",1344
2022,"Fairfield and Westchester County, Connecticut and New York, USA","during",2720
2022,"Fairfield and Westchester County, Connecticut and New York, USA","after",1158
2020,"Fairfield and Westchester County, Connecticut and New York, USA","before",663
2020,"Fairfield and Westchester County, Connecticut and New York, USA","during",3196
2020,"Fairfield and Westchester County, Connecticut and New York, USA","after",1069
2019,"Northern Colorado, Colorado, USA","before",31
2019,"Northern Colorado, Colorado, USA","during",2012
2019,"Northern Colorado, Colorado, USA","after",63
2020,"Northern Colorado, Colorado, USA","before",113
2020,"Northern Colorado, Colorado, USA","during",961
2020,"Northern Colorado, Colorado, USA","after",431
2022,"Northern Colorado, Colorado, USA","before",236
2022,"Northern Colorado, Colorado, USA","during",661
2022,"Northern Colorado, Colorado, USA","after",654
2021,"Fort Wayne, Indiana, USA","before",240
2021,"Fort Wayne, Indiana, USA","during",1500
2021,"Fort Wayne, Indiana, USA","after",205
2020,"Fort Wayne, Indiana, USA","before",146
2020,"Fort Wayne, Indiana, USA","during",1983
2020,"Fort Wayne, Indiana, USA","after",237
2022,"Fort Wayne, Indiana, USA","before",178
2022,"Fort Wayne, Indiana, USA","during",1142
2022,"Fort Wayne, Indiana, USA","after",793
2022,"GAM, San José, Costa Rica","before",171
2022,"GAM, San José, Costa Rica","during",2830
2022,"GAM, San José, Costa Rica","after",168
2021,"GAM, San José, Costa Rica","before",140
2021,"GAM, San José, Costa Rica","during",2674
2021,"GAM, San José, Costa Rica","after",195
2020,"GAM, San José, Costa Rica","before",183
2020,"GAM, San José, Costa Rica","during",2131
2020,"GAM, San José, Costa Rica","after",216
2021,"Garden Route, Western Cape, South Africa","before",484
2021,"Garden Route, Western Cape, South Africa","during",20377
2021,"Garden Route, Western Cape, South Africa","after",820
2020,"Garden Route, Western Cape, South Africa","before",627
2020,"Garden Route, Western Cape, South Africa","during",17640
2020,"Garden Route, Western Cape, South Africa","after",484
2022,"Garden Route, Western Cape, South Africa","before",1235
2022,"Garden Route, Western Cape, South Africa","during",16256
2022,"Garden Route, Western Cape, South Africa","after",989
2020,"Geelong, Victoria, Australia","before",289
2020,"Geelong, Victoria, Australia","during",5954
2020,"Geelong, Victoria, Australia","after",248
2021,"Geelong, Victoria, Australia","before",330
2021,"Geelong, Victoria, Australia","during",3400
2021,"Geelong, Victoria, Australia","after",269
2022,"Geelong, Victoria, Australia","before",547
2022,"Geelong, Victoria, Australia","during",2692
2022,"Geelong, Victoria, Australia","after",1046
2019,"Glasgow, Scotland","before",10
2019,"Glasgow, Scotland","during",134
2019,"Glasgow, Scotland","after",18
2020,"Glasgow, Scotland","before",75
2020,"Glasgow, Scotland","during",2059
2020,"Glasgow, Scotland","after",280
2021,"Glasgow, Scotland","before",88
2021,"Glasgow, Scotland","during",1383
2021,"Glasgow, Scotland","after",282
2022,"Glasgow, Scotland","before",273
2022,"Glasgow, Scotland","during",1892
2022,"Glasgow, Scotland","after",222
2021,"Graz, Styria, Austria","before",188
2021,"Graz, Styria, Austria","during",17203
2021,"Graz, Styria, Austria","after",484
2020,"Graz, Styria, Austria","before",218
2020,"Graz, Styria, Austria","during",5113
2020,"Graz, Styria, Austria","after",387
2022,"Graz, Styria, Austria","before",263
2022,"Graz, Styria, Austria","during",16881
2022,"Graz, Styria, Austria","after",615
2022,"Burlington/Winooski, Vermont, USA","before",336
2022,"Burlington/Winooski, Vermont, USA","during",3696
2022,"Burlington/Winooski, Vermont, USA","after",269
2018,"Cabarrus County, North Carolina, USA","before",71
2018,"Cabarrus County, North Carolina, USA","during",6943
2018,"Cabarrus County, North Carolina, USA","after",41
2021,"Greensboro, North Carolina, USA","before",1330
2021,"Greensboro, North Carolina, USA","during",2503
2021,"Greensboro, North Carolina, USA","after",895
2022,"Greensboro, North Carolina, USA","before",974
2022,"Greensboro, North Carolina, USA","during",1926
2022,"Greensboro, North Carolina, USA","after",866
2022,"Guatemala, Guatemala","before",80
2022,"Guatemala, Guatemala","during",2995
2022,"Guatemala, Guatemala","after",212
2020,"Guimarães, Portugal","before",8
2020,"Guimarães, Portugal","during",4
2020,"Guimarães, Portugal","after",18
2021,"Guimarães, Portugal","before",15
2021,"Guimarães, Portugal","during",29
2021,"Guimarães, Portugal","after",50
2022,"Guimarães, Portugal","before",21
2022,"Guimarães, Portugal","during",48
2022,"Guimarães, Portugal","after",43
2018,"Guimarães, Portugal","before",1
2018,"Guimarães, Portugal","during",0
2018,"Guimarães, Portugal","after",0
2020,"Halifax Regional Municipality, Nova Scotia, Canada","before",229
2020,"Halifax Regional Municipality, Nova Scotia, Canada","during",4365
2020,"Halifax Regional Municipality, Nova Scotia, Canada","after",395
2021,"Halifax Regional Municipality, Nova Scotia, Canada","before",226
2021,"Halifax Regional Municipality, Nova Scotia, Canada","during",5745
2021,"Halifax Regional Municipality, Nova Scotia, Canada","after",792
2022,"Halifax Regional Municipality, Nova Scotia, Canada","before",649
2022,"Halifax Regional Municipality, Nova Scotia, Canada","during",5996
2022,"Halifax Regional Municipality, Nova Scotia, Canada","after",510
2019,"Halifax Regional Municipality, Nova Scotia, Canada","before",149
2019,"Halifax Regional Municipality, Nova Scotia, Canada","during",7647
2019,"Halifax Regional Municipality, Nova Scotia, Canada","after",190
2021,"Hamilton, Ontario, Canada","before",706
2021,"Hamilton, Ontario, Canada","during",3328
2021,"Hamilton, Ontario, Canada","after",1103
2022,"Hamilton, Ontario, Canada","before",435
2022,"Hamilton, Ontario, Canada","during",2136
2022,"Hamilton, Ontario, Canada","after",544
2021,"Hampton Roads, Virginia, USA","before",524
2021,"Hampton Roads, Virginia, USA","during",1351
2021,"Hampton Roads, Virginia, USA","after",382
2022,"Hampton Roads, Virginia, USA","before",1256
2022,"Hampton Roads, Virginia, USA","during",2649
2022,"Hampton Roads, Virginia, USA","after",805
2021,"Heart of Texas, Texas, USA","before",787
2021,"Heart of Texas, Texas, USA","during",4271
2021,"Heart of Texas, Texas, USA","after",1099
2022,"Heart of Texas, Texas, USA","before",1011
2022,"Heart of Texas, Texas, USA","during",5079
2022,"Heart of Texas, Texas, USA","after",775
2022,"Hollywood, Florida, USA","before",384
2022,"Hollywood, Florida, USA","during",2637
2022,"Hollywood, Florida, USA","after",261
2020,"Honduras","before",244
2020,"Honduras","during",2219
2020,"Honduras","after",352
2021,"Honduras","before",562
2021,"Honduras","during",3701
2021,"Honduras","after",1151
2018,"Hong Kong","before",1266
2018,"Hong Kong","during",20682
2018,"Hong Kong","after",1504
2019,"Hong Kong","before",948
2019,"Hong Kong","during",31553
2019,"Hong Kong","after",2649
2020,"Hong Kong","before",1887
2020,"Hong Kong","during",17266
2020,"Hong Kong","after",2090
2021,"Hong Kong","before",2130
2021,"Hong Kong","during",29859
2021,"Hong Kong","after",2318
2022,"Hong Kong","before",3111
2022,"Hong Kong","during",33292
2022,"Hong Kong","after",2220
2020,"Oahu, Hawaii, USA","before",84
2020,"Oahu, Hawaii, USA","during",461
2020,"Oahu, Hawaii, USA","after",94
2021,"Oahu, Hawaii, USA","before",466
2021,"Oahu, Hawaii, USA","during",1095
2021,"Oahu, Hawaii, USA","after",426
2022,"Oahu, Hawaii, USA","before",299
2022,"Oahu, Hawaii, USA","during",1580
2022,"Oahu, Hawaii, USA","after",607
2018,"Houston-Galveston, Texas, USA","before",1380
2018,"Houston-Galveston, Texas, USA","during",22384
2018,"Houston-Galveston, Texas, USA","after",1345
2019,"Houston-Galveston, Texas, USA","before",2429
2019,"Houston-Galveston, Texas, USA","during",24605
2019,"Houston-Galveston, Texas, USA","after",1744
2020,"Houston-Galveston, Texas, USA","before",3636
2020,"Houston-Galveston, Texas, USA","during",27668
2020,"Houston-Galveston, Texas, USA","after",3695
2021,"Houston-Galveston, Texas, USA","before",5126
2021,"Houston-Galveston, Texas, USA","during",34317
2021,"Houston-Galveston, Texas, USA","after",2786
2022,"Houston-Galveston, Texas, USA","before",5319
2022,"Houston-Galveston, Texas, USA","during",32117
2022,"Houston-Galveston, Texas, USA","after",3456
2020,"Hsinchu, Taiwan","before",356
2020,"Hsinchu, Taiwan","during",7991
2020,"Hsinchu, Taiwan","after",765
2021,"Hsinchu, Taiwan","before",482
2021,"Hsinchu, Taiwan","during",3580
2021,"Hsinchu, Taiwan","after",592
2022,"Hsinchu, Taiwan","before",336
2022,"Hsinchu, Taiwan","during",7822
2022,"Hsinchu, Taiwan","after",197
2018,"Indianapolis, Indiana, USA","before",88
2018,"Indianapolis, Indiana, USA","during",3738
2018,"Indianapolis, Indiana, USA","after",467
2019,"Indianapolis, Indiana, USA","before",290
2019,"Indianapolis, Indiana, USA","during",2911
2019,"Indianapolis, Indiana, USA","after",548
2020,"Indianapolis, Indiana, USA","before",787
2020,"Indianapolis, Indiana, USA","during",4574
2020,"Indianapolis, Indiana, USA","after",591
2021,"Indianapolis, Indiana, USA","before",1955
2021,"Indianapolis, Indiana, USA","during",4426
2021,"Indianapolis, Indiana, USA","after",832
2022,"Indianapolis, Indiana, USA","before",643
2022,"Indianapolis, Indiana, USA","during",5126
2022,"Indianapolis, Indiana, USA","after",1092
2020,"Inland Empire, California, USA","before",2206
2020,"Inland Empire, California, USA","during",11539
2020,"Inland Empire, California, USA","after",3466
2021,"Inland Empire, California, USA","before",3405
2021,"Inland Empire, California, USA","during",11251
2021,"Inland Empire, California, USA","after",3797
2022,"Inland Empire, California, USA","before",5145
2022,"Inland Empire, California, USA","during",7426
2022,"Inland Empire, California, USA","after",3866
2021,"Ithaca, New York, USA","before",969
2021,"Ithaca, New York, USA","during",3282
2021,"Ithaca, New York, USA","after",1465
2022,"Ithaca, New York, USA","before",627
2022,"Ithaca, New York, USA","during",1903
2022,"Ithaca, New York, USA","after",1484
2020,"Kansas City, Missouri, USA","before",288
2020,"Kansas City, Missouri, USA","during",706
2020,"Kansas City, Missouri, USA","after",545
2021,"Kansas City, Missouri, USA","before",372
2021,"Kansas City, Missouri, USA","during",1173
2021,"Kansas City, Missouri, USA","after",421
2022,"Kansas City, Missouri, USA","before",545
2022,"Kansas City, Missouri, USA","during",1943
2022,"Kansas City, Missouri, USA","after",485
2020,"Kaohsiung, Taiwan","before",253
2020,"Kaohsiung, Taiwan","during",1051
2020,"Kaohsiung, Taiwan","after",236
2021,"Kaohsiung, Taiwan","before",317
2021,"Kaohsiung, Taiwan","during",799
2021,"Kaohsiung, Taiwan","after",145
2022,"Kaohsiung, Taiwan","before",469
2022,"Kaohsiung, Taiwan","during",2579
2022,"Kaohsiung, Taiwan","after",439
2022,"Okanagan Valley, British Columbia, Canada","before",830
2022,"Okanagan Valley, British Columbia, Canada","during",2610
2022,"Okanagan Valley, British Columbia, Canada","after",1480
2021,"Kiel, Schleswig-Holstein, Germany","before",143
2021,"Kiel, Schleswig-Holstein, Germany","during",5367
2021,"Kiel, Schleswig-Holstein, Germany","after",190
2022,"Kiel, Schleswig-Holstein, Germany","before",113
2022,"Kiel, Schleswig-Holstein, Germany","during",4293
2022,"Kiel, Schleswig-Holstein, Germany","after",360
2018,"Klang Valley (Kuala Lumpur), Malaysia","before",46
2018,"Klang Valley (Kuala Lumpur), Malaysia","during",22031
2018,"Klang Valley (Kuala Lumpur), Malaysia","after",13
2019,"Klang Valley (Kuala Lumpur), Malaysia","before",73
2019,"Klang Valley (Kuala Lumpur), Malaysia","during",37900
2019,"Klang Valley (Kuala Lumpur), Malaysia","after",48
2021,"Klang Valley (Kuala Lumpur), Malaysia","before",578
2021,"Klang Valley (Kuala Lumpur), Malaysia","during",9418
2021,"Klang Valley (Kuala Lumpur), Malaysia","after",334
2022,"Klang Valley (Kuala Lumpur), Malaysia","before",271
2022,"Klang Valley (Kuala Lumpur), Malaysia","during",2134
2022,"Klang Valley (Kuala Lumpur), Malaysia","after",173
2021,"Knox Area (Knoxville), Tennessee, USA","before",1233
2021,"Knox Area (Knoxville), Tennessee, USA","during",2346
2021,"Knox Area (Knoxville), Tennessee, USA","after",1581
2022,"Knox Area (Knoxville), Tennessee, USA","before",1416
2022,"Knox Area (Knoxville), Tennessee, USA","during",3476
2022,"Knox Area (Knoxville), Tennessee, USA","after",918
2022,"Elota, Sinaloa, México","before",100
2022,"Elota, Sinaloa, México","during",6286
2022,"Elota, Sinaloa, México","after",55
2019,"La Paz, Bolivia","before",703
2019,"La Paz, Bolivia","during",47637
2019,"La Paz, Bolivia","after",261
2020,"La Paz, Bolivia","before",16
2020,"La Paz, Bolivia","during",3372
2020,"La Paz, Bolivia","after",36
2021,"La Paz, Bolivia","before",23
2021,"La Paz, Bolivia","during",492
2021,"La Paz, Bolivia","after",81
2022,"La Paz, Bolivia","before",805
2022,"La Paz, Bolivia","during",138218
2022,"La Paz, Bolivia","after",415
2020,"Lancashire, UK","before",953
2020,"Lancashire, UK","during",5322
2020,"Lancashire, UK","after",860
2021,"Lancashire, UK","before",286
2021,"Lancashire, UK","during",2991
2021,"Lancashire, UK","after",336
2022,"Lancashire, UK","before",371
2022,"Lancashire, UK","during",3849
2022,"Lancashire, UK","after",399
2022,"Lexington, Kentucky, USA","before",244
2022,"Lexington, Kentucky, USA","during",2665
2022,"Lexington, Kentucky, USA","after",157
2021,"Lexington, Kentucky, USA","before",284
2021,"Lexington, Kentucky, USA","during",2560
2021,"Lexington, Kentucky, USA","after",89
2019,"Lima, Perú","before",65
2019,"Lima, Perú","during",918
2019,"Lima, Perú","after",38
2021,"Lima, Perú","before",534
2021,"Lima, Perú","during",4113
2021,"Lima, Perú","after",155
2022,"Liverpool City Region, UK","before",434
2022,"Liverpool City Region, UK","during",7753
2022,"Liverpool City Region, UK","after",964
2021,"Liverpool City Region, UK","before",840
2021,"Liverpool City Region, UK","during",8922
2021,"Liverpool City Region, UK","after",877
2020,"Liverpool City Region, UK","before",2965
2020,"Liverpool City Region, UK","during",5956
2020,"Liverpool City Region, UK","after",1194
2019,"Liverpool City Region, UK","before",770
2019,"Liverpool City Region, UK","during",12424
2019,"Liverpool City Region, UK","after",1402
2022,"London, UK","before",1516
2022,"London, UK","during",4480
2022,"London, UK","after",1442
2018,"London, UK","before",285
2018,"London, UK","during",2602
2018,"London, UK","after",377
2020,"London, UK","before",718
2020,"London, UK","during",5790
2020,"London, UK","after",1294
2021,"London, UK","before",1223
2021,"London, UK","during",4782
2021,"London, UK","after",1176
2019,"London, UK","before",434
2019,"London, UK","during",5369
2019,"London, UK","after",674
2018,"Los Angeles County, California, USA","before",2284
2018,"Los Angeles County, California, USA","during",19451
2018,"Los Angeles County, California, USA","after",2684
2019,"Los Angeles County, California, USA","before",3883
2019,"Los Angeles County, California, USA","during",34491
2019,"Los Angeles County, California, USA","after",3569
2020,"Los Angeles County, California, USA","before",3671
2020,"Los Angeles County, California, USA","during",19603
2020,"Los Angeles County, California, USA","after",5706
2021,"Los Angeles County, California, USA","before",5824
2021,"Los Angeles County, California, USA","during",22541
2021,"Los Angeles County, California, USA","after",4812
2022,"Los Angeles County, California, USA","before",6086
2022,"Los Angeles County, California, USA","during",19599
2022,"Los Angeles County, California, USA","after",5515
2022,"Louisville Metro, Kentucky, USA","before",637
2022,"Louisville Metro, Kentucky, USA","during",2642
2022,"Louisville Metro, Kentucky, USA","after",385
2018,"Lower Rio Grande Valley, Texas, USA","before",642
2018,"Lower Rio Grande Valley, Texas, USA","during",8865
2018,"Lower Rio Grande Valley, Texas, USA","after",406
2019,"Lower Rio Grande Valley, Texas, USA","before",744
2019,"Lower Rio Grande Valley, Texas, USA","during",9036
2019,"Lower Rio Grande Valley, Texas, USA","after",238
2020,"Lower Rio Grande Valley, Texas, USA","before",511
2020,"Lower Rio Grande Valley, Texas, USA","during",7499
2020,"Lower Rio Grande Valley, Texas, USA","after",387
2021,"Lower Rio Grande Valley, Texas, USA","before",701
2021,"Lower Rio Grande Valley, Texas, USA","during",8086
2021,"Lower Rio Grande Valley, Texas, USA","after",442
2022,"Lower Rio Grande Valley, Texas, USA","before",989
2022,"Lower Rio Grande Valley, Texas, USA","during",11580
2022,"Lower Rio Grande Valley, Texas, USA","after",461
2019,"Luxembourg, Luxembourg","before",23
2019,"Luxembourg, Luxembourg","during",7928
2019,"Luxembourg, Luxembourg","after",20
2020,"Luxembourg, Luxembourg","before",591
2020,"Luxembourg, Luxembourg","during",6048
2020,"Luxembourg, Luxembourg","after",1363
2021,"Luxembourg, Luxembourg","before",726
2021,"Luxembourg, Luxembourg","during",5410
2021,"Luxembourg, Luxembourg","after",802
2022,"Luxembourg, Luxembourg","before",1497
2022,"Luxembourg, Luxembourg","during",7713
2022,"Luxembourg, Luxembourg","after",1599
2022,"Madison Metro Area, Wisconsin, USA","before",568
2022,"Madison Metro Area, Wisconsin, USA","during",2063
2022,"Madison Metro Area, Wisconsin, USA","after",1861
2018,"Madrid, Spain","before",16
2018,"Madrid, Spain","during",694
2018,"Madrid, Spain","after",19
2019,"Madrid, Spain","before",231
2019,"Madrid, Spain","during",367
2019,"Madrid, Spain","after",42
2020,"Madrid, Spain","before",8
2020,"Madrid, Spain","during",61
2020,"Madrid, Spain","after",102
2022,"Madrid, Spain","before",75
2022,"Madrid, Spain","during",213
2022,"Madrid, Spain","after",171
2020,"Managua, Nicaragua","before",7
2020,"Managua, Nicaragua","during",903
2020,"Managua, Nicaragua","after",8
2021,"Nicaragua","before",113
2021,"Nicaragua","during",2813
2021,"Nicaragua","after",220
2019,"Greater Manchester, UK","before",48
2019,"Greater Manchester, UK","during",5114
2019,"Greater Manchester, UK","after",182
2020,"Greater Manchester, UK","before",650
2020,"Greater Manchester, UK","during",4768
2020,"Greater Manchester, UK","after",397
2021,"Greater Manchester, UK","before",251
2021,"Greater Manchester, UK","during",1854
2021,"Greater Manchester, UK","after",163
2022,"Greater Manchester, UK","before",376
2022,"Greater Manchester, UK","during",2256
2022,"Greater Manchester, UK","after",419
2019,"Mazatlán, Sinaloa, México","before",227
2019,"Mazatlán, Sinaloa, México","during",27867
2019,"Mazatlán, Sinaloa, México","after",285
2021,"Mazatlán, Sinaloa, México","before",113
2021,"Mazatlán, Sinaloa, México","during",15910
2021,"Mazatlán, Sinaloa, México","after",75
2022,"Mazatlán, Sinaloa, México","before",169
2022,"Mazatlán, Sinaloa, México","during",22620
2022,"Mazatlán, Sinaloa, México","after",244
2019,"Medellín, Colombia","before",355
2019,"Medellín, Colombia","during",14133
2019,"Medellín, Colombia","after",152
2022,"Melbourne, Victoria, Australia","before",1689
2022,"Melbourne, Victoria, Australia","during",12744
2022,"Melbourne, Victoria, Australia","after",1951
2021,"Melbourne, Victoria, Australia","before",335
2021,"Melbourne, Victoria, Australia","during",8001
2021,"Melbourne, Victoria, Australia","after",225
2022,"Memphis, Tennessee, Mississippi, Arkansas, USA","before",355
2022,"Memphis, Tennessee, Mississippi, Arkansas, USA","during",1838
2022,"Memphis, Tennessee, Mississippi, Arkansas, USA","after",395
2020,"Mendocino County, California, USA","before",306
2020,"Mendocino County, California, USA","during",1431
2020,"Mendocino County, California, USA","after",387
2021,"Mendocino County, California, USA","before",640
2021,"Mendocino County, California, USA","during",1904
2021,"Mendocino County, California, USA","after",465
2021,"Valle de Aburrá, Antioquia, Colombia","before",141
2021,"Valle de Aburrá, Antioquia, Colombia","during",5189
2021,"Valle de Aburrá, Antioquia, Colombia","after",145
2022,"Valle de Aburrá, Antioquia, Colombia","before",458
2022,"Valle de Aburrá, Antioquia, Colombia","during",10254
2022,"Valle de Aburrá, Antioquia, Colombia","after",827
2019,"Miami, Florida, USA","before",655
2019,"Miami, Florida, USA","during",12177
2019,"Miami, Florida, USA","after",551
2018,"Miami, Florida, USA","before",330
2018,"Miami, Florida, USA","during",3915
2018,"Miami, Florida, USA","after",185
2021,"Milazzo, Messina, Italy","before",11
2021,"Milazzo, Messina, Italy","during",3395
2021,"Milazzo, Messina, Italy","after",0
2022,"Milazzo, Messina, Italy","before",8
2022,"Milazzo, Messina, Italy","during",10148
2022,"Milazzo, Messina, Italy","after",27
2022,"Milwaukee, Wisconsin, USA","before",310
2022,"Milwaukee, Wisconsin, USA","during",2122
2022,"Milwaukee, Wisconsin, USA","after",2144
2018,"Minneapolis-St. Paul, Minnesota, USA","before",76
2018,"Minneapolis-St. Paul, Minnesota, USA","during",3575
2018,"Minneapolis-St. Paul, Minnesota, USA","after",640
2019,"Minneapolis-St. Paul, Minnesota, USA","before",321
2019,"Minneapolis-St. Paul, Minnesota, USA","during",5793
2019,"Minneapolis-St. Paul, Minnesota, USA","after",805
2020,"Minneapolis-St. Paul, Minnesota, USA","before",722
2020,"Minneapolis-St. Paul, Minnesota, USA","during",5647
2020,"Minneapolis-St. Paul, Minnesota, USA","after",2139
2021,"Minneapolis-St. Paul, Minnesota, USA","before",2625
2021,"Minneapolis-St. Paul, Minnesota, USA","during",6794
2021,"Minneapolis-St. Paul, Minnesota, USA","after",2985
2022,"Minneapolis-St. Paul, Minnesota, USA","before",877
2022,"Minneapolis-St. Paul, Minnesota, USA","during",5315
2022,"Minneapolis-St. Paul, Minnesota, USA","after",3662
2018,"Monterrey, México","before",499
2018,"Monterrey, México","during",8482
2018,"Monterrey, México","after",487
2019,"Monterrey, México","before",792
2019,"Monterrey, México","during",15739
2019,"Monterrey, México","after",414
2020,"Monterrey, México","before",376
2020,"Monterrey, México","during",1765
2020,"Monterrey, México","after",411
2022,"Monterrey, México","before",620
2022,"Monterrey, México","during",22039
2022,"Monterrey, México","after",657
2021,"Monterrey, México","before",760
2021,"Monterrey, México","during",9324
2021,"Monterrey, México","after",347
2020,"Montréal, Québec, Canada","before",227
2020,"Montréal, Québec, Canada","during",695
2020,"Montréal, Québec, Canada","after",671
2021,"Montréal, Québec, Canada","before",889
2021,"Montréal, Québec, Canada","during",1353
2021,"Montréal, Québec, Canada","after",1521
2022,"Montréal, Québec, Canada","before",732
2022,"Montréal, Québec, Canada","during",6864
2022,"Montréal, Québec, Canada","after",1392
2021,"Moscow, Russia","before",1209
2021,"Moscow, Russia","during",11341
2021,"Moscow, Russia","after",2477
2020,"Moscow, Russia","before",261
2020,"Moscow, Russia","during",5993
2020,"Moscow, Russia","after",1360
2022,"Moscow, Russia","before",1393
2022,"Moscow, Russia","during",10951
2022,"Moscow, Russia","after",2634
2022,"Nanaimo, British Columbia, Canada","before",589
2022,"Nanaimo, British Columbia, Canada","during",3757
2022,"Nanaimo, British Columbia, Canada","after",1604
2018,"Nashville, Tennessee, USA","before",118
2018,"Nashville, Tennessee, USA","during",1678
2018,"Nashville, Tennessee, USA","after",437
2019,"Nashville, Tennessee, USA","before",1131
2019,"Nashville, Tennessee, USA","during",2363
2019,"Nashville, Tennessee, USA","after",810
2020,"Nashville, Tennessee, USA","before",546
2020,"Nashville, Tennessee, USA","during",2650
2020,"Nashville, Tennessee, USA","after",736
2021,"Nashville, Tennessee, USA","before",883
2021,"Nashville, Tennessee, USA","during",1588
2021,"Nashville, Tennessee, USA","after",776
2022,"Nashville, Tennessee, USA","before",845
2022,"Nashville, Tennessee, USA","during",2257
2022,"Nashville, Tennessee, USA","after",1053
2020,"North Carolina Coastal Plain, North Carolina, USA","before",537
2020,"North Carolina Coastal Plain, North Carolina, USA","during",4067
2020,"North Carolina Coastal Plain, North Carolina, USA","after",1040
2021,"North Carolina Coastal Plain, North Carolina, USA","before",1380
2021,"North Carolina Coastal Plain, North Carolina, USA","during",2576
2021,"North Carolina Coastal Plain, North Carolina, USA","after",1215
2019,"New Orleans, Louisiana, USA","before",631
2019,"New Orleans, Louisiana, USA","during",851
2019,"New Orleans, Louisiana, USA","after",279
2020,"New Orleans, Louisiana, USA","before",492
2020,"New Orleans, Louisiana, USA","during",609
2020,"New Orleans, Louisiana, USA","after",353
2021,"New Orleans, Louisiana, USA","before",1118
2021,"New Orleans, Louisiana, USA","during",1459
2021,"New Orleans, Louisiana, USA","after",478
2022,"New Orleans, Louisiana, USA","before",611
2022,"New Orleans, Louisiana, USA","during",1485
2022,"New Orleans, Louisiana, USA","after",402
2018,"New York City, New York, USA","before",831
2018,"New York City, New York, USA","during",21224
2018,"New York City, New York, USA","after",1649
