"user.login","year","n_obs","n_taxa"
"aaronjmorgan","2019",2,2
"aclaude4308","2020",1,1
"adevero","2020",1,1
"aesteticpigoen","2020",1,1
"akell04","2020",1,1
"al-liaceae","2020",2,2
"alansinsf","2020",2,2
"alcyonaria","2020",4,2
"alexchap","2020",1,1
"alexosmorgan","2019",5,5
"alexshepard","2019",1,1
"alleahnabhani","2019",1,1
"allie10","2020",1,1
"amarillas","2019",3,2
"amieamore","2019",4,4
"amybalkin","2019",2,2
"amyjaecker-jones","2019",3,3
"amyjaecker-jones","2020",2,2
"andrea924","2019",1,1
"andreareid","2020",1,1
"andrewwhite12","2020",3,3
"andytuba","2019",1,1
"andyvn","2019",4,1
"ankygrrl63","2020",2,2
"anna-towers","2019",1,1
"annabelleacosta","2020",1,1
"annie33","2020",1,1
"anniebmoriarty","2019",2,2
"anniemiller","2019",7,6
"anniemiller","2020",4,4
"aplants","2019",1,1
"arboretum_amy","2020",1,1
"astinson","2020",1,1
"awiese","2019",10,7
"awiese","2020",3,3
"baccharis","2020",1,1
"bailey2018","2020",1,1
"barbarab","2019",1,1
"barry_thomson","2019",3,3
"barry_thomson","2020",2,2
"bbunny","2019",4,3
"behiel","2019",1,1
"bethcataldo","2020",2,2
"bferdows","2019",2,2
"bilgepump100","2019",5,5
"bilgepump100","2020",8,7
"biophilic1","2020",1,1
"blake911","2019",1,1
"blueridge_bluebell","2019",2,2
"bluevalhalla","2020",1,1
"boschniakia","2019",5,5
"bosque365","2020",2,2
"bratworst","2019",5,5
"brendan74","2019",1,1
"brewbeast","2019",1,1
"brock","2020",3,3
"brook","2019",1,1
"bugplanet666","2020",2,2
"cadlam","2019",1,1
"camigorospe","2019",2,2
"carlosd73","2019",3,3
"carreglo","2020",1,1
"caseyalpert","2019",1,1
"caseygirard","2019",5,5
"catchang","2019",23,22
"catchang","2020",17,17
"ccb-iowa","2019",1,1
"cchaney","2019",2,2
"cdolis","2019",1,1
"cedric_lee","2019",5,3
"ceratina","2019",2,2
"char_char","2020",2,2
"chepechiltepe","2019",1,1
"chilipossum","2020",1,1
"chris_crus","2019",2,2
"chris_crus","2020",2,2
"chrisalis","2019",3,3
"chrissypio","2020",4,4
"christinebaker1","2019",2,2
"chuboola","2019",1,1
"citizenstuart","2020",1,1
"cmaci","2020",1,1
"cmh901","2019",1,1
"coastalsage","2019",1,1
"coffearobusta42","2019",1,1
"connorenright","2019",1,1
"corkyq","2019",1,1
"dalehf","2019",1,1
"damontighe","2019",6,5
"damontighe","2020",3,3
"daniellemg","2020",1,1
"danisunshine","2019",1,1
"davethewave","2020",1,1
"debkccb","2019",3,3
"debkccb","2020",3,3
"debroby","2019",2,2
"devcam","2019",2,2
"deven8","2020",1,1
"dianeappel","2020",3,3
"dieselval","2019",1,1
"dlbowls","2020",6,4
"dlevitis","2019",5,5
"dlevitis","2020",4,4
"docprt","2019",1,1
"docprt","2020",1,1
"doggeroo","2019",1,1
"donnanae","2020",1,1
"drosenfeld","2020",3,3
"drscott","2020",3,3
"dsacer","2019",1,1
"dulce360","2019",1,1
"dwightagan","2019",5,5
"edoswalt","2019",2,2
"eicash","2020",2,2
"elliechen1","2019",1,1
"emeraldearthling","2020",2,2
"emglad","2019",6,5
"emilfogarino","2020",1,1
"emilycobar","2019",1,1
"ericalsf","2019",1,1
"evimeyer","2020",1,1
"finatic","2019",32,23
"finatic","2020",17,9
"florayfauna","2019",2,2
"forestgirlannie","2019",1,1
"fowlivia","2019",1,1
"fraskar","2019",1,1
"funkewoman","2019",1,1
"funkewoman","2020",2,2
"genevieverose","2019",1,1
"gerilegru","2020",1,1
"ghazard","2020",2,2
"ghia69","2019",1,1
"gilianmeyers","2019",1,1
"giorap","2020",2,2
"gless","2019",1,1
"glmory","2019",2,2
"gloturtle","2019",3,2
"gold_country_avian_studies","2020",2,2
"gregpauly","2019",1,1
"guevarje","2019",1,1
"gutmanlm","2019",1,1
"gyrrlfalcon","2019",61,37
"gyrrlfalcon","2020",39,25
"hailey_adler","2019",2,2
"hannahmarie1","2020",1,1
"hannahthebird","2020",1,1
"heatherstevens","2020",2,2
"hfabian","2019",2,2
"hfabian","2020",7,5
"highdesertgal","2019",3,2
"highdesertgal","2020",1,1
"hikingsandiego","2019",15,11
"hila","2019",4,4
"hilarystaples","2019",5,5
"hilarystaples","2020",3,3
"hjstephenson","2019",1,1
"hmbmurrays","2020",2,2
"hokan","2019",1,1
"hollye","2020",9,9
"hydrocycler","2019",1,1
"i_am_neil","2019",1,1
"i_am_neil","2020",1,1
"i_love_cells","2020",1,1
"imoss","2019",1,1
"inaughto","2020",1,1
"ingaderuyter","2019",1,1
"ingorenner","2019",1,1
"jackking1","2019",1,1
"jalevin","2019",1,1
"janexvx","2019",1,1
"jaylenepotter","2020",1,1
"jenbryant","2019",2,2
"jennysokolsky","2019",1,1
"jesse","2019",2,2
"jessicaplein","2019",1,1
"jill177","2019",2,2
"jimasmus","2019",2,2
"jjyoon2","2019",1,1
"jmiller85","2019",2,2
"jneko27","2019",1,1
"jodinesmith","2019",1,1
"john475","2019",2,2
"john475","2020",1,1
"johndumbacher","2020",1,1
"johnlau911","2019",2,2
"johnsontran","2019",1,1
"jolene-elizabeth","2019",1,1
"jonathan27","2019",5,4
"jonathan27","2020",5,2
"josephwrichards","2020",1,1
"josh_b","2019",1,1
"joshuacatamora","2019",1,1
"jrobbin33","2019",1,1
"judygibson","2019",2,2
"julie_sf","2019",24,13
"juliebarbosa","2019",1,1
"justdemp","2019",1,1
"k8craft","2019",1,1
"kaeliesnyder","2019",1,1
"kbrizgys","2020",1,1
"keniae","2019",1,1
"kentmoriarty","2019",1,1
"kestrel","2019",2,2
"kestrel","2020",6,6
"kevinhintsa","2019",3,3
"kimpeterson","2019",2,2
"klyle161","2019",1,1
"kmarkello","2020",1,1
"kmerrill","2019",1,1
"kmoutoux","2020",2,2
"knify","2019",1,1
"kodjak","2020",2,2
"kpapoulias","2020",1,1
"krweed","2020",1,1
"kvitek16","2020",3,3
"kwadman","2020",1,1
"kylemeza","2020",1,1
"labradorite_luster","2019",1,1
"lacigerhart","2019",1,1
"lacigerhart","2020",1,1
"lagoondon","2019",3,3
"lalimento","2019",1,1
"laurajc","2020",2,2
"leftcoastnaturalist","2019",1,1
"leftcoastnaturalist","2020",1,1
"lemonsnapp","2019",1,1
"lenaz","2019",1,1
"lenaz","2020",1,1
"leslie_flint","2019",15,13
"leslie_flint","2020",13,12
"lglevanik","2019",1,1
"lgottlieb","2019",27,17
"lgottlieb","2020",25,19
"lhiggins","2019",1,1
"linda228","2019",2,2
"lindagal2","2019",1,1
"lindagal2","2020",1,1
"lindarasmussen","2019",1,1
"lisaredfern","2020",3,3
"lmtrapote","2019",1,1
"lopinto","2020",1,1
"lorri-gong","2019",1,1
"lorri-gong","2020",1,1
"lostlamb","2019",1,1
"lotusmorning","2019",5,4
"lpadilla","2019",2,2
"lsangines","2020",1,1
"lwvibrato","2019",2,2
"lylegordon","2019",1,1
"lyneag","2019",1,1
"lynn2","2020",1,1
"macmuir","2020",2,2
"malacothrix","2019",1,1
"mangos","2020",4,4
"marinmaverick","2020",1,1
"marycollie","2020",2,2
"marymchurchill","2019",21,9
"marymchurchill","2020",17,10
"marytsao","2020",1,1
"matthew_bettelheim","2020",2,1
"matthewmcintosh1","2020",1,1
"mboeger","2020",3,3
"mckenzie_macdonald","2019",1,1
"meandmygirls3","2020",1,1
"melbobs","2019",2,2
"meldel","2019",2,2
"melissamonjaraz","2020",1,1
"mellestra","2020",2,2
"mendocinocoastbotanicalgardens","2020",2,2
"merav","2019",16,13
"merav","2020",2,2
"meredithfenyo","2019",2,2
"merrikbush","2020",1,1
"metsa","2019",31,22
"metsa","2020",39,28
"mharte","2019",1,1
"mightymightymango","2020",1,1
"mikethebirder","2019",95,55
"mikethebirder","2020",22,14
"milliebasden","2019",4,4
"milliebasden","2020",8,8
"miriamklingler","2020",1,1
"miroslava_munguia","2019",1,1
"missamanda","2020",2,2
"mkfitzgerald","2019",2,2
"mlf","2019",1,1
"momeara","2019",1,1
"monto","2020",2,2
"moonlittrails","2019",1,1
"morganwyatt","2019",1,1
"motmot","2019",1,1
"mpkw","2019",1,1
"mrmaple","2020",4,4
"mserrano02","2019",2,2
"mwangbickler","2019",2,2
"mwloch","2019",1,1
"mynat-3-","2020",1,1
"nancyasquith","2019",10,9
"nancyasquith","2020",3,3
"naturalistspace","2019",4,4
"naturalistspace","2020",6,5
"naturalizt","2020",1,1
"naturenate","2019",1,1
"natures4me","2019",2,2
"naturesarchive","2020",1,1
"naturewithnan","2019",3,2
"ncarbone88","2020",2,2
"neontetraploid","2019",1,1
"newtpatrol","2019",10,9
"nicholedyan","2020",3,3
"nickcarpenter","2020",1,1
"nickscho_","2020",1,1
"nicola233","2020",2,2
"niltonserson","2019",1,1
"nishasukheja","2019",1,1
"nlekach","2019",9,9
"nlekach","2020",2,2
"nora32","2019",1,1
"noreen8","2020",3,2
"nptialiu","2020",2,2
"ocean_beach_goth","2019",1,1
"ocean_beach_goth","2020",1,1
"ochoa_allyson","2019",1,1
"oliviavandamme","2020",2,2
"outsidewonderlabk12","2020",1,1
"ovelten-lomelin","2019",3,3
"palomarbeth","2020",2,2
"patsimpson2000","2019",13,11
"patsimpson2000","2020",5,4
"pauletteg","2019",1,1
"pchandler725","2019",1,1
"pdecino","2020",2,2
"peterngsf","2019",1,1
"petunialoo","2019",2,2
"petunialoo","2020",3,3
"pewpewbutterflies","2019",2,2
"pholroyd","2020",2,2
"phylogenomics","2019",4,2
"phylogenomics","2020",2,2
"pliffgrieff","2020",1,1
"plover52","2020",1,1
"pmccarty","2019",1,1
"pmdenn","2019",1,1
"pmdenn","2020",1,1
"pocketmouse","2019",2,2
"pocketmouse","2020",1,1
"quantron","2019",1,1
"quetalquetzal","2019",1,1
"rachelf","2020",1,1
"rachulrugg","2020",1,1
"ralphj","2020",1,1
"ramalinarose","2019",15,15
"ramalinarose","2020",8,8
"ramblinghobbit","2020",2,2
"rappman","2019",2,2
"raynacb","2020",1,1
"rebeccafay","2019",9,9
"rebeccafay","2020",17,14
"reilily","2020",1,1
"reneejutras","2020",2,2
"rich123","2019",1,1
"rljcal","2019",4,2
"rljcal","2020",3,2
"rmoger","2019",2,2
"rmoger","2020",6,6
"rochellegaudette42","2019",2,2
"rockybajada","2019",1,1
"roisinma","2020",9,5
"ronvanderhoff","2020",2,2
"rprobst","2019",1,1
"rudyard","2019",6,5
"rudyard","2020",3,3
"rupertclayton","2020",3,2
"ryanandrews","2020",2,2
"sage_and_seaweed","2019",3,3
"sandiegomike","2019",3,2
"sandylikeabeach","2019",1,1
"sarah-mae","2020",1,1
"sarah2273","2020",1,1
"sarahangulo","2019",3,3
"sarahwenner","2019",1,1
"sbstrongbeach","2020",1,1
"scarboni","2020",2,2
"schwee","2020",1,1
"scott916","2019",1,1
"screedius","2020",1,1
"scubabruin","2019",1,1
"sea-kangaroo","2019",17,12
"sea-kangaroo","2020",8,8
"seamydas","2019",1,1
"sennesand","2019",1,1
"sgcacc","2019",4,2
"shannonrankin","2020",1,1
"sheila168","2020",3,3
"shellestelle","2019",1,1
"shirazoe","2020",1,1
"sidesplotch","2019",3,2
"siekkinen","2019",3,3
"sierrasowers2","2019",1,1
"simpylmare55","2020",2,2
"siwanicki","2019",2,2
"siwanicki","2020",1,1
"sjiang96","2019",1,1
"skylarknight","2020",1,1
"skylukr","2020",1,1
"snakeinmypocket","2019",2,2
"snakeinmypocket","2020",1,1
"snickelfritz76","2019",1,1
"sonny115","2019",1,1
"spaltedalder","2020",1,1
"spheller","2019",1,1
"spheller","2020",5,3
"spifferella","2019",3,2
"sprochter","2020",5,5
"sslucas","2019",2,2
"steph_taylor","2019",11,9
"stephlbartlett","2019",1,1
"stevenyu","2019",1,1
"summermule","2020",1,1
"sunah2339","2019",1,1
"sunflowerguy","2019",2,2
"suzm","2019",14,12
"suzm","2020",2,2
"taram77","2020",2,2
"taylofayer","2019",1,1
"teamclarkia","2019",2,2
"teamwillow","2019",1,1
"ten_salamanders","2020",4,4
"tessacm","2020",1,1
"thunefeld","2020",1,1
"timweed","2019",4,4
"tiwane","2020",6,5
"tomeara","2019",1,1
"tomv","2020",8,8
"torreyn","2019",1,1
"trailblazr","2019",2,2
"truthseqr","2019",10,7
"truthseqr","2020",2,1
"tui","2019",1,1
"tui","2020",1,1
"tunich","2019",1,1
"upandadam","2019",3,3
"vermfly","2019",1,1
"vicsch","2019",3,3
"violetgoop","2019",1,1
"vireolanius","2019",4,4
"vireolanius","2020",2,2
"virusmanbob","2019",1,1
"vonbuelow","2019",1,1
"wayne1955","2019",1,1
"wbsimey","2020",18,13
"wildmare64","2020",2,2
"wildmarin","2019",1,1
"xanderstabile","2019",2,2
"yinanhua","2019",1,1
"ymjcal","2019",1,1
"ymjcal","2020",4,3
