"taxon.name","city","n_obs","n_RG","taxon.rank"
"Acarospora","San Diego County",2,0,"genus"
"Acarospora","San Francisco Bay Area",2,0,"genus"
"Acarospora robiniae","Los Angeles County",1,0,"species"
"Acarospora socialis","Los Angeles County",4,4,"species"
"Acarospora socialis","San Diego County",22,19,"species"
"Acarospora socialis","San Francisco Bay Area",4,1,"species"
"Aspicilia","San Diego County",8,0,"genus"
"Aspicilia","San Francisco Bay Area",1,0,"genus"
"Aspicilia confusa","San Diego County",2,2,"species"
"Aspicilia phaea","San Diego County",1,1,"species"
"Blastenia ferruginea","San Diego County",1,1,"species"
"Buellia","San Diego County",2,0,"genus"
"Buellia disciformis","San Diego County",1,1,"species"
"Buellia muriformis","San Diego County",2,0,"species"
"Buellia oidalea","San Diego County",1,1,"species"
"Caloplaca","Los Angeles County",2,0,"genus"
"Caloplaca","San Diego County",7,0,"genus"
"Caloplaca","San Francisco Bay Area",9,0,"genus"
"Candelaria","Los Angeles County",3,0,"genus"
"Candelaria","San Diego County",4,0,"genus"
"Candelaria","San Francisco Bay Area",2,0,"genus"
"Candelaria concolor","Los Angeles County",3,1,"species"
"Candelaria concolor","Sacramento Region",9,6,"species"
"Candelaria concolor","San Diego County",9,5,"species"
"Candelaria concolor","San Francisco Bay Area",10,0,"species"
"Candelaria pacifica","San Diego County",5,5,"species"
"Candelariella","Los Angeles County",2,0,"genus"
"Candelariella","San Diego County",1,0,"genus"
"Candelariella","San Francisco Bay Area",1,0,"genus"
"Candelariella aurella","San Francisco Bay Area",1,1,"species"
"Candelariella rosulans","Los Angeles County",2,1,"species"
"Candelariella rosulans","San Diego County",6,4,"species"
"Candelariella rosulans","San Francisco Bay Area",1,0,"species"
"Candelariella vitellina","Los Angeles County",2,1,"species"
"Candelariella vitellina","San Diego County",3,2,"species"
"Candelariella vitellina","San Francisco Bay Area",4,0,"species"
"Chrysothrix","Los Angeles County",1,0,"genus"
"Chrysothrix","Sacramento Region",1,0,"genus"
"Chrysothrix","San Diego County",3,0,"genus"
"Chrysothrix","San Francisco Bay Area",2,0,"genus"
"Chrysothrix candelaris","San Diego County",2,0,"species"
"Chrysothrix candelaris","San Francisco Bay Area",3,1,"species"
"Cladonia","San Diego County",9,0,"genus"
"Cladonia","San Francisco Bay Area",24,0,"genus"
"Cladonia chlorophaea","San Diego County",1,0,"species"
"Cladonia concinna","San Francisco Bay Area",1,0,"species"
"Cladonia fimbriata","San Francisco Bay Area",1,0,"species"
"Cladonia squamosa","San Francisco Bay Area",2,0,"species"
"Collema","San Francisco Bay Area",1,0,"genus"
"Collema furfuraceum","San Francisco Bay Area",1,0,"species"
"Dermatocarpon americanum","San Diego County",1,1,"species"
"Dimelaena","San Diego County",3,0,"genus"
"Dimelaena radiata","San Diego County",10,4,"species"
"Dimelaena radiata","San Francisco Bay Area",1,0,"species"
"Dimelaena thysanota","San Diego County",1,1,"species"
"Diploicia canescens","San Diego County",4,4,"species"
"Diploschistes scruposus","San Diego County",1,1,"species"
"Evernia prunastri","Sacramento Region",4,1,"species"
"Evernia prunastri","San Diego County",2,2,"species"
"Evernia prunastri","San Francisco Bay Area",29,22,"species"
"Flavoparmelia","San Francisco Bay Area",15,0,"genus"
"Flavoparmelia baltimorensis","San Francisco Bay Area",1,0,"species"
"Flavoparmelia caperata","Los Angeles County",1,0,"species"
"Flavoparmelia caperata","Sacramento Region",11,2,"species"
"Flavoparmelia caperata","San Diego County",17,13,"species"
"Flavoparmelia caperata","San Francisco Bay Area",57,7,"species"
"Flavopunctelia","San Francisco Bay Area",5,0,"genus"
"Flavopunctelia flaventior","Los Angeles County",2,1,"species"
"Flavopunctelia flaventior","San Diego County",1,0,"species"
"Flavopunctelia flaventior","San Francisco Bay Area",10,3,"species"
"Flavopunctelia soredica","San Francisco Bay Area",1,0,"species"
"Fuscopannaria","San Francisco Bay Area",1,0,"genus"
"Fuscopannaria coralloidea","San Francisco Bay Area",1,0,"species"
"Graphis","San Diego County",1,0,"genus"
"Graphis scripta","San Francisco Bay Area",1,0,"species"
"Gyalolechia","San Diego County",3,0,"genus"
"Gyalolechia flavovirescens","San Francisco Bay Area",1,0,"species"
"Gyalolechia stantonii","San Diego County",1,1,"species"
"Heterodermia leucomelos","San Francisco Bay Area",3,0,"species"
"Hypogymnia","San Francisco Bay Area",2,0,"genus"
"Hypogymnia imshaugii","San Francisco Bay Area",2,1,"species"
"Hypogymnia inactiva","San Francisco Bay Area",1,0,"species"
"Hypogymnia physodes","San Francisco Bay Area",2,2,"species"
"Hypogymnia tubulosa","San Francisco Bay Area",1,0,"species"
"Icmadophila ericetorum","San Francisco Bay Area",1,0,"species"
"Kaernefeltia merrillii","San Francisco Bay Area",1,1,"species"
"Lecanora","San Diego County",1,0,"genus"
"Lecanora","San Francisco Bay Area",2,0,"genus"
"Lecanora bicincta","San Diego County",1,1,"species"
"Lecanora confusa","San Diego County",2,2,"species"
"Lecanora gangaleoides","San Diego County",1,1,"species"
"Lecanora hybocarpa","San Francisco Bay Area",1,0,"species"
"Lecanora rupicola","San Diego County",1,1,"species"
"Lecanora strobilina","San Diego County",1,0,"species"
"Lecanora symmicta","San Diego County",1,1,"species"
"Lecidea","San Diego County",1,0,"genus"
"Lecidea tessellata","San Diego County",1,1,"species"
"Lecidella asema","San Francisco Bay Area",1,0,"species"
"Lepra amara","San Francisco Bay Area",1,0,"species"
"Lepraria","San Francisco Bay Area",2,0,"genus"
"Leptochidium albociliatum","San Francisco Bay Area",2,0,"species"
"Leptogium","San Francisco Bay Area",1,0,"genus"
"Letharia","Los Angeles County",1,0,"genus"
"Letharia","San Diego County",5,0,"genus"
"Letharia columbiana","San Diego County",1,1,"species"
"Letharia vulpina","San Diego County",9,9,"species"
"Letharia vulpina","San Francisco Bay Area",3,3,"species"
"Limax maximus","Sacramento Region",1,0,"species"
"Limax maximus","San Francisco Bay Area",4,4,"species"
"Lobaria","San Francisco Bay Area",1,0,"genus"
"Lobaria anomala","San Francisco Bay Area",2,1,"species"
"Lobaria anthraspis","San Francisco Bay Area",5,4,"species"
"Lobothallia alphoplaca","San Diego County",1,1,"species"
"Melanelia","San Diego County",1,0,"genus"
"Melanelixia glabra","San Diego County",1,0,"species"
"Melanelixia subaurifera","San Diego County",1,1,"species"
"Melanohalea","San Francisco Bay Area",1,0,"genus"
"Melanohalea subolivacea","San Diego County",1,1,"species"
"Multiclavula","San Francisco Bay Area",1,0,"genus"
"Myriolecis dispersa","San Diego County",1,1,"species"
"Niebla","Los Angeles County",1,0,"genus"
"Niebla","San Diego County",1,0,"genus"
"Niebla","San Francisco Bay Area",1,0,"genus"
"Niebla cephalota","San Francisco Bay Area",5,4,"species"
"Niebla ceruchoides","Los Angeles County",1,0,"species"
"Niebla combeoides","San Francisco Bay Area",3,3,"species"
"Niebla homalea","San Francisco Bay Area",4,3,"species"
"Niebla polymorpha","Los Angeles County",1,0,"species"
"Ochrolechia","San Francisco Bay Area",5,0,"genus"
"Ochrolechia pallescens","San Francisco Bay Area",1,0,"species"
"Parmelia","San Diego County",1,0,"genus"
"Parmelia","San Francisco Bay Area",2,0,"genus"
"Parmelia hygrophila","San Francisco Bay Area",1,0,"species"
"Parmelia sulcata","Sacramento Region",1,0,"species"
"Parmelia sulcata","San Francisco Bay Area",6,1,"species"
"Parmelina coleae","San Francisco Bay Area",2,1,"species"
"Parmotrema","San Francisco Bay Area",7,0,"genus"
"Parmotrema arnoldii","San Diego County",1,1,"species"
"Parmotrema hypoleucinum","San Diego County",1,1,"species"
"Parmotrema perlatum","San Francisco Bay Area",5,0,"species"
"Peltigera","San Francisco Bay Area",5,0,"genus"
"Peltigera canina","San Francisco Bay Area",1,0,"species"
"Peltigera collina","San Francisco Bay Area",1,1,"species"
"Peltigera membranacea","San Francisco Bay Area",2,0,"species"
"Phlyctis argena","San Francisco Bay Area",4,1,"species"
"Physcia","San Diego County",1,0,"genus"
"Physcia","San Francisco Bay Area",5,0,"genus"
"Physcia adscendens","Sacramento Region",2,0,"species"
"Physcia adscendens","San Diego County",5,4,"species"
"Physcia adscendens","San Francisco Bay Area",5,0,"species"
"Physcia aipolia","San Francisco Bay Area",2,0,"species"
"Physcia caesia","San Francisco Bay Area",3,0,"species"
"Physcia dubia","San Diego County",1,1,"species"
"Physcia millegrana","San Francisco Bay Area",2,0,"species"
"Physcia tribacia","Los Angeles County",1,1,"species"
"Physcia tribacia","San Diego County",1,1,"species"
"Physconia","San Francisco Bay Area",2,0,"genus"
"Physconia americana","San Francisco Bay Area",1,0,"species"
"Physconia californica","San Diego County",1,1,"species"
"Physconia detersa","San Francisco Bay Area",1,0,"species"
"Platismatia glauca","San Francisco Bay Area",1,0,"species"
"Polycauliona","Sacramento Region",1,0,"genus"
"Polycauliona bolacina","San Diego County",4,4,"species"
"Polycauliona candelaria","San Diego County",1,1,"species"
"Polycauliona candelaria","San Francisco Bay Area",1,0,"species"
"Polycauliona ignea","San Francisco Bay Area",1,1,"species"
"Polycauliona impolita","San Diego County",1,1,"species"
"Polycauliona inconspecta","San Diego County",2,2,"species"
"Polycauliona luteominia","San Diego County",1,1,"species"
"Polycauliona polycarpa","San Diego County",3,2,"species"
"Polycauliona polycarpa","San Francisco Bay Area",2,0,"species"
"Porpidia albocaerulescens","Los Angeles County",1,0,"species"
"Porpidia albocaerulescens","San Diego County",3,0,"species"
"Porpidia albocaerulescens","San Francisco Bay Area",2,0,"species"
"Porpidia crustulata","San Francisco Bay Area",1,0,"species"
"Protoparmeliopsis","Sacramento Region",1,0,"genus"
"Protoparmeliopsis muralis","Los Angeles County",1,0,"species"
"Protoparmeliopsis muralis","Sacramento Region",1,0,"species"
"Protoparmeliopsis muralis","San Diego County",6,6,"species"
"Protoparmeliopsis muralis","San Francisco Bay Area",5,0,"species"
"Protoparmeliopsis pinguis","San Diego County",1,1,"species"
"Protoparmeliopsis pinguis","San Francisco Bay Area",1,0,"species"
"Pseudothelomma occidentale","San Francisco Bay Area",2,0,"species"
"Psoralea pinnata","San Francisco Bay Area",3,0,"species"
"Punctelia","Los Angeles County",1,0,"genus"
"Punctelia jeckeri","San Francisco Bay Area",1,0,"species"
"Ramalina","San Francisco Bay Area",14,0,"genus"
"Ramalina farinacea","San Diego County",3,2,"species"
"Ramalina farinacea","San Francisco Bay Area",15,5,"species"
"Ramalina leptocarpha","San Francisco Bay Area",5,2,"species"
"Ramalina menziesii","Sacramento Region",1,1,"species"
"Ramalina menziesii","San Diego County",1,1,"species"
"Ramalina menziesii","San Francisco Bay Area",32,32,"species"
"Rhizocarpon","Los Angeles County",2,0,"genus"
"Rhizocarpon","San Francisco Bay Area",3,0,"genus"
"Rhizocarpon geographicum","Los Angeles County",2,0,"species"
"Rhizocarpon geographicum","San Francisco Bay Area",7,2,"species"
"Rusavskia","San Diego County",1,0,"genus"
"Rusavskia elegans","Los Angeles County",2,0,"species"
"Rusavskia elegans","San Diego County",2,0,"species"
"Rusavskia elegans","San Francisco Bay Area",12,1,"species"
"Sarcogyne","Los Angeles County",1,0,"genus"
"Sarcogyne","San Diego County",1,0,"genus"
"Sphaerulina westendorpii","San Francisco Bay Area",1,0,"species"
"Squamulea subsoluta","San Diego County",7,7,"species"
"Stereocaulon sterile","San Francisco Bay Area",1,0,"species"
"Sticta fuliginosa","San Francisco Bay Area",1,1,"species"
"Teloschistes","San Francisco Bay Area",1,0,"genus"
"Teloschistes chrysophthalmus","Los Angeles County",1,1,"species"
"Teloschistes chrysophthalmus","San Francisco Bay Area",9,8,"species"
"Teloschistes flavicans","San Francisco Bay Area",2,2,"species"
"Thelomma californicum","San Diego County",1,1,"species"
"Thelomma mammosum","San Diego County",1,0,"species"
"Trapeliopsis glaucopholis","San Diego County",1,1,"species"
"Tremella","Los Angeles County",1,0,"genus"
"Tremella","San Diego County",1,0,"genus"
"Tremella","San Francisco Bay Area",1,0,"genus"
"Tremella aurantia","San Diego County",2,1,"species"
"Tremella aurantia","San Francisco Bay Area",8,4,"species"
"Tremella mesenterica","San Diego County",1,0,"species"
"Tuckermanopsis orbata","San Francisco Bay Area",3,2,"species"
"Umbilicaria","San Francisco Bay Area",1,0,"genus"
"Umbilicaria phaea","Los Angeles County",3,1,"species"
"Umbilicaria phaea","San Diego County",2,2,"species"
"Umbilicaria phaea","San Francisco Bay Area",10,6,"species"
"Usnea","San Francisco Bay Area",35,1,"genus"
"Usnea cornuta","San Francisco Bay Area",1,0,"species"
"Usnea hirta","San Francisco Bay Area",2,1,"species"
"Usnea intermedia","San Francisco Bay Area",5,3,"species"
"Usnea longissima","San Francisco Bay Area",1,1,"species"
"Usnea rubicunda","San Francisco Bay Area",2,2,"species"
"Usnea subfloridana","San Francisco Bay Area",4,0,"species"
"Verrucaria","San Diego County",2,0,"genus"
"Xanthomendoza","San Diego County",2,0,"genus"
"Xanthomendoza fallax","San Diego County",2,1,"species"
"Xanthomendoza hasseana","San Francisco Bay Area",1,0,"species"
"Xanthomendoza ulophyllodes","San Diego County",1,0,"species"
"Xanthoparmelia","Los Angeles County",3,0,"genus"
"Xanthoparmelia","San Diego County",16,0,"genus"
"Xanthoparmelia","San Francisco Bay Area",8,0,"genus"
"Xanthoparmelia conspersa","San Francisco Bay Area",1,0,"species"
"Xanthoparmelia cumberlandia","San Diego County",19,15,"species"
"Xanthoparmelia cumberlandia","San Francisco Bay Area",5,0,"species"
"Xanthoparmelia lineola","San Diego County",2,2,"species"
"Xanthoparmelia maricopensis","San Diego County",2,2,"species"
"Xanthoparmelia mexicana","San Diego County",1,1,"species"
"Xanthoparmelia subhosseana","San Diego County",1,1,"species"
"Xanthoria","Sacramento Region",2,0,"genus"
"Xanthoria","San Francisco Bay Area",7,0,"genus"
"Xanthoria parietina","Los Angeles County",1,0,"species"
"Xanthoria parietina","Sacramento Region",4,1,"species"
"Xanthoria parietina","San Diego County",3,1,"species"
"Xanthoria parietina","San Francisco Bay Area",28,10,"species"
